# notes:
# this table was generated applying 10^r to the second column
# because the data was log10(N_e/N_A)
# the negative points were symmetrized to interpolate zero radius
#
#  raio          N_e / N_A
 0.0041848   1.0284306232e+02
 0.0041975   1.0284258871e+02
 0.0042101   1.0284187830e+02
 0.0042236   1.0284140470e+02
 0.0042370   1.0284069430e+02
 0.0042504   1.0283998390e+02
 0.0042636   1.0283951031e+02
 0.0042768   1.0283879992e+02
 0.0042899   1.0283808954e+02
 0.0043029   1.0283761595e+02
 0.0043159   1.0283690558e+02
 0.0043297   1.0283619521e+02
 0.0043435   1.0283572163e+02
 0.0043572   1.0283501127e+02
 0.0043708   1.0283430091e+02
 0.0043843   1.0283359056e+02
 0.0043977   1.0283288022e+02
 0.0044110   1.0283240665e+02
 0.0044243   1.0283169632e+02
 0.0044385   1.0283098598e+02
 0.0044526   1.0283027565e+02
 0.0044667   1.0282956533e+02
 0.0044806   1.0282885501e+02
 0.0044945   1.0282814470e+02
 0.0045082   1.0282743439e+02
 0.0045219   1.0282672408e+02
 0.0045355   1.0282601378e+02
 0.0045501   1.0282530349e+02
 0.0045646   1.0282459320e+02
 0.0045790   1.0282388291e+02
 0.0045933   1.0282317263e+02
 0.0046075   1.0282246236e+02
 0.0046216   1.0282175209e+02
 0.0046356   1.0282104182e+02
 0.0046496   1.0282033156e+02
 0.0046645   1.0281938456e+02
 0.0046793   1.0281867431e+02
 0.0046941   1.0281796407e+02
 0.0047087   1.0281725383e+02
 0.0047233   1.0281630685e+02
 0.0047377   1.0281559662e+02
 0.0047521   1.0281488640e+02
 0.0047664   1.0281417618e+02
 0.0047815   1.0281322923e+02
 0.0047966   1.0281251903e+02
 0.0048115   1.0281180883e+02
 0.0048264   1.0281086190e+02
 0.0048411   1.0281015171e+02
 0.0048558   1.0280944152e+02
 0.0048704   1.0280849462e+02
 0.0048849   1.0280778444e+02
 0.0049004   1.0280683755e+02
 0.0049158   1.0280612739e+02
 0.0049311   1.0280518052e+02
 0.0049463   1.0280447037e+02
 0.0049614   1.0280352351e+02
 0.0049765   1.0280281337e+02
 0.0049914   1.0280186652e+02
 0.0050063   1.0280115639e+02
 0.0050222   1.0280020957e+02
 0.0050380   1.0279926274e+02
 0.0050537   1.0279831593e+02
 0.0050693   1.0279760583e+02
 0.0050848   1.0279665903e+02
 0.0051002   1.0279571225e+02
 0.0051155   1.0279500216e+02
 0.0051308   1.0279405539e+02
 0.0051471   1.0279310862e+02
 0.0051633   1.0279216187e+02
 0.0051794   1.0279121512e+02
 0.0051954   1.0279026838e+02
 0.0052113   1.0278932166e+02
 0.0052271   1.0278837494e+02
 0.0052428   1.0278742822e+02
 0.0052584   1.0278671820e+02
 0.0052751   1.0278553483e+02
 0.0052917   1.0278458814e+02
 0.0053082   1.0278364146e+02
 0.0053246   1.0278269480e+02
 0.0053409   1.0278174814e+02
 0.0053571   1.0278080149e+02
 0.0053732   1.0277985485e+02
 0.0053893   1.0277890821e+02
 0.0054064   1.0277772493e+02
 0.0054234   1.0277677832e+02
 0.0054403   1.0277583171e+02
 0.0054571   1.0277464847e+02
 0.0054739   1.0277370189e+02
 0.0054905   1.0277275531e+02
 0.0055070   1.0277157210e+02
 0.0055234   1.0277062554e+02
 0.0055410   1.0276967900e+02
 0.0055584   1.0276849582e+02
 0.0055758   1.0276754929e+02
 0.0055930   1.0276636615e+02
 0.0056101   1.0276518301e+02
 0.0056272   1.0276423651e+02
 0.0056441   1.0276305340e+02
 0.0056609   1.0276210693e+02
 0.0056789   1.0276092384e+02
 0.0056968   1.0275974077e+02
 0.0057146   1.0275879432e+02
 0.0057323   1.0275761127e+02
 0.0057499   1.0275642824e+02
 0.0057673   1.0275524522e+02
 0.0057847   1.0275429881e+02
 0.0058019   1.0275311582e+02
 0.0058204   1.0275193283e+02
 0.0058387   1.0275074987e+02
 0.0058570   1.0274956691e+02
 0.0058751   1.0274838397e+02
 0.0058931   1.0274720104e+02
 0.0059110   1.0274601813e+02
 0.0059288   1.0274483523e+02
 0.0059465   1.0274365234e+02
 0.0059654   1.0274223289e+02
 0.0059842   1.0274105004e+02
 0.0060029   1.0273986719e+02
 0.0060215   1.0273868436e+02
 0.0060400   1.0273726499e+02
 0.0060583   1.0273608219e+02
 0.0060766   1.0273489940e+02
 0.0060947   1.0273371663e+02
 0.0061141   1.0273229732e+02
 0.0061334   1.0273087803e+02
 0.0061526   1.0272969530e+02
 0.0061716   1.0272827605e+02
 0.0061905   1.0272709335e+02
 0.0062093   1.0272567414e+02
 0.0062280   1.0272449147e+02
 0.0062466   1.0272307229e+02
 0.0062665   1.0272188965e+02
 0.0062863   1.0272047051e+02
 0.0063059   1.0271905138e+02
 0.0063254   1.0271763228e+02
 0.0063448   1.0271621319e+02
 0.0063641   1.0271479412e+02
 0.0063832   1.0271361158e+02
 0.0064023   1.0271219255e+02
 0.0064223   1.0271077354e+02
 0.0064423   1.0270935455e+02
 0.0064621   1.0270793557e+02
 0.0064819   1.0270651662e+02
 0.0065015   1.0270509769e+02
 0.0065209   1.0270367877e+02
 0.0065403   1.0270225988e+02
 0.0065596   1.0270084101e+02
 0.0065794   1.0269942215e+02
 0.0065990   1.0269800332e+02
 0.0066186   1.0269658450e+02
 0.0066381   1.0269492924e+02
 0.0066574   1.0269351047e+02
 0.0066766   1.0269209171e+02
 0.0067148   1.0268925427e+02
 0.0067330   1.0268807202e+02
 0.0067693   1.0268523468e+02
 0.0068052   1.0268239742e+02
 0.0068230   1.0268121525e+02
 0.0068582   1.0267837811e+02
 0.0068848   1.0267648672e+02
 0.0069112   1.0267435895e+02
 0.0069305   1.0267294046e+02
 0.0069688   1.0266986713e+02
 0.0069877   1.0266844871e+02
 0.0070254   1.0266561191e+02
 0.0070626   1.0266253881e+02
 0.0070854   1.0266088410e+02
 0.0071082   1.0265899303e+02
 0.0071307   1.0265710200e+02
 0.0071532   1.0265544737e+02
 0.0071754   1.0265355641e+02
 0.0071976   1.0265190184e+02
 0.0072196   1.0265001094e+02
 0.0072617   1.0264670195e+02
 0.0073018   1.0264339306e+02
 0.0073415   1.0264032062e+02
 0.0073611   1.0263866627e+02
 0.0074002   1.0263535764e+02
 0.0074241   1.0263346705e+02
 0.0074480   1.0263134017e+02
 0.0074716   1.0262944965e+02
 0.0074951   1.0262755916e+02
 0.0075417   1.0262354199e+02
 0.0075878   1.0261976127e+02
 0.0076301   1.0261621697e+02
 0.0076510   1.0261432673e+02
 0.0076926   1.0261078262e+02
